Latitude,Longitude
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
4122.3269,07205.9783
